자동차등록용도별,차종별,규모별,2023년 4년 이하 검사대수 (대),2023년 4년 이하 부적합률 (퍼센트),2023년 5-6년 검사대수 (대),2023년 5-6년 부적합률 (퍼센트),2023년 7-8년 검사대수 (대),2023년 7-8년 부적합률 (퍼센트),2023년 9-10년 검사대수 (대),2023년 9-10년 부적합률 (퍼센트),2023년 11-12년 검사대수 (대),2023년 11-12년 부적합률 (퍼센트),2023년 13-14년 검사대수 (대),2023년 13-14년 부적합률 (퍼센트),2023년 15년 이상 검사대수 (대),2023년 15년 이상 부적합률 (퍼센트)
비사업용,승용차,경형,99727,8.54,66475,8.35,141977,12.24,159004,22.63,151781,30.44,120853,33.44,84965,36.67
비사업용,승용차,소형,625,14.72,102,23.53,1019,15.31,2906,18.44,6454,24.21,14851,30.87,39876,32.6
비사업용,승용차,중형,779796,5.88,399329,9.94,801163,14.49,742456,24.16,615858,31.12,571608,32.21,745571,33.6
비사업용,승용차,대형,398229,4.77,228800,7.21,418688,10.67,326403,16.75,255972,23.48,259648,25.85,399768,29.48
비사업용,승합차,경형,3656,17.15,1193,22.63,3012,25.37,2417,30.53,1977,33.28,1046,27.72,1239,29.46
비사업용,승합차,소형,2,50,1,0,8,12.5,8,25,3,0,1,0,565,38.23
비사업용,승합차,중형,76869,11.96,26276,16.63,55491,18.02,145933,18.4,170687,19.68,133692,23.99,141073,23.34
비사업용,승합차,대형,3127,10.91,2377,11.61,4908,14.14,4348,17.73,3553,15.85,4158,15.46,4768,13.76
비사업용,화물차,경형,13603,16.82,4302,22.94,10184,23.46,8968,29.08,6969,32.32,3647,30.74,4460,30.09
비사업용,화물차,소형,774152,12.05,171082,22.82,326953,26.51,305162,30.6,247098,35.38,209848,41.9,268601,40.69
비사업용,화물차,중형,48981,19.46,21103,25.1,42592,23.84,42726,24.78,34710,26.06,32273,28.63,186623,29.66
비사업용,화물차,대형,26281,15.76,12250,19.97,22639,20.86,18898,23.45,20132,24.27,20931,25.92,79759,25.59
비사업용,특수차,경형,5,20,10,0,26,7.69,21,9.53,25,12,7,14.29,6,16.67
비사업용,특수차,소형,21268,11.92,6896,17.5,9161,18.34,5728,18.16,4578,21.74,2634,24.22,2519,21.79
비사업용,특수차,중형,1712,12.5,691,10.27,1267,15.86,793,19.8,681,17.47,679,20.03,3512,21.24
비사업용,특수차,대형,887,7.33,451,15.08,987,12.87,571,13.13,646,14.55,575,19.65,1696,24.65
사업용,승용차,경형,46251,12.78,949,8.11,71,5.63,0,0,0,0,0,0,0,0
사업용,승용차,소형,17,0,0,0,1,0,0,0,0,0,0,0,0,0
사업용,승용차,중형,426032,8.52,27761,13.92,15935,15.12,1479,19.41,6,16.67,0,0,0,0
사업용,승용차,대형,299582,5.97,14362,11.52,9992,13.9,2378,13.75,110,17.27,0,0,0,0
사업용,승합차,경형,105,10.48,12,8.33,11,27.28,1,0,0,0,0,0,0,0
사업용,승합차,소형,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사업용,승합차,중형,21352,12.08,3385,17.93,5373,22.71,9180,22.97,1967,22.88,88,25,0,0
사업용,승합차,대형,25164,5,7623,9.16,14105,23.28,18320,26.59,4267,32.43,153,19.61,0,0
사업용,화물차,경형,5482,27.09,1084,32.56,1218,33.58,581,36.32,255,31.77,115,25.22,222,18.02
사업용,화물차,소형,79412,19.57,14798,31.56,24372,36.49,17124,40.18,9771,40.9,5852,44.52,3181,41.02
사업용,화물차,중형,19770,25.79,7148,27.08,13822,26.64,15926,27.78,11928,28.29,11332,30.82,34271,28.24
사업용,화물차,대형,56483,15.9,19783,18.99,41203,21.68,38306,25.17,36036,26.15,35513,27.49,69995,25.81
사업용,특수차,경형,0,0,0,0,0,0,0,0,0,0,0,0,1,0
사업용,특수차,소형,3692,16.12,1820,21.92,4759,20.8,3952,21.53,2922,26.15,1313,27.57,830,23.98
사업용,특수차,중형,5021,14.34,2066,21.2,4702,22.26,2835,22.19,1761,23.51,1042,27.35,2472,24.15
사업용,특수차,대형,11643,10.11,4333,15.72,10038,16.31,9103,17.98,8941,21.69,6336,23.12,14220,27.04
