자동차등록용도별,차종별,규모별,5만킬로미터미만검사대수 (대),5만킬로미터 미만부적합률 (퍼센트),5만010만킬로미터 미만검사대수 (대),5만010만킬로미터 미만부적합률 (퍼센트),10만015만킬로미터 미만검사대수 (대),10만015만킬로미터 미만부적합률 (퍼센트),15만020만킬로미터 미만검사대수 (대),15만020만킬로미터 미만부적합률 (퍼센트),20만025만킬로미터 미만검사대수 (대),20만025만킬로미터 미만부적합률 (퍼센트),25만030만킬로미터 미만검사대수 (대),25만030만킬로미터 미만부적합률 (퍼센트),30만035만킬로미터 미만검사대수 (대),30만035만킬로미터 미만부적합률 (퍼센트),35만킬로미터 이상검사대수 (대),35만킬로미터 이상부적합률 (퍼센트)
자가용,승용차,경형,191242,10%,334360,22%,201278,30%,69631,35%,18178,37%,4798,39%,1336,41%,943,43%
자가용,승용차,소형,4403,17%,18381,25%,21432,31%,12696,35%,5349,40%,2092,41%,772,40%,432,40%
자가용,승용차,중형,698807,7%,1442531,15%,1199291,25%,730020,31%,341208,35%,139827,37%,54117,38%,41519,39%
자가용,승용차,대형,271502,4%,660910,9%,563319,17%,380548,23%,215995,28%,107783,31%,47861,32%,37865,35%
자가용,승합차,경형,3529,13%,5059,25%,3219,32%,1467,35%,662,33%,302,39%,150,35%,143,32%
자가용,승합차,소형,55,31%,63,29%,86,41%,100,42%,92,35%,87,43%,44,32%,60,42%
자가용,승합차,중형,73924,10%,115007,17%,155543,20%,150676,22%,108505,23%,62087,24%,30956,25%,28466,26%
자가용,승합차,대형,3152,13%,5923,16%,3933,18%,2221,18%,1315,14%,905,14%,730,16%,4815,15%
자가용,화물차,경형,19069,15%,15616,27%,9337,32%,4321,35%,1809,38%,844,36%,399,39%,431,36%
자가용,화물차,소형,557666,10%,520401,21%,425185,30%,320404,36%,213158,39%,123788,41%,63486,43%,58198,45%
자가용,화물차,중형,47980,17%,57357,24%,63542,27%,61838,29%,49858,31%,35535,31%,23660,30%,63636,28%
자가용,화물차,대형,29888,18%,23429,22%,19782,23%,17466,24%,15223,25%,12680,27%,10530,26%,58958,26%
자가용,특수차,경형,65,12%,19,5%,10,10%,3,0%,3,0%,0,0%,0,0%,0,0%
자가용,특수차,소형,22627,11%,10800,17%,7053,21%,4338,24%,2716,25%,1675,25%,890,25%,1030,23%
자가용,특수차,중형,2783,14%,1340,20%,1023,24%,747,26%,588,23%,349,24%,255,22%,614,22%
자가용,특수차,대형,1032,13%,497,14%,314,22%,211,23%,219,21%,172,19%,134,20%,1781,25%
영업용,승용차,경형,26405,10%,16711,15%,3295,18%,741,20%,95,19%,13,15%,3,33%,9,0%
영업용,승용차,소형,9,0%,7,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,승용차,중형,147284,6%,137233,8%,47743,10%,17038,10%,8940,10%,6583,10%,5828,9%,14899,10%
영업용,승용차,대형,119328,5%,123973,6%,38631,8%,11067,10%,3289,12%,1047,15%,366,15%,413,11%
영업용,승합차,경형,75,4%,39,23%,10,10%,3,33%,2,50%,0,0%,0,0%,0,0%
영업용,승합차,소형,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,승합차,중형,9089,8%,7604,14%,5337,18%,4189,23%,3602,23%,3044,23%,2395,23%,5847,20%
영업용,승합차,대형,1240,10%,5166,7%,4112,11%,4745,11%,5182,14%,5311,17%,5626,19%,38247,19%
영업용,화물차,경형,607,14%,1326,24%,1762,26%,1613,32%,1289,33%,858,33%,567,36%,935,34%
영업용,화물차,소형,30074,13%,36156,24%,25630,31%,18668,34%,13350,38%,9548,38%,6624,39%,14461,41%
영업용,화물차,중형,5674,23%,8240,25%,8564,26%,8647,27%,8389,28%,8207,28%,7795,29%,58683,29%
영업용,화물차,대형,34115,17%,15672,21%,14666,21%,13670,22%,13650,21%,14090,22%,13987,22%,177313,25%
영업용,특수차,경형,0,0%,0,0%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%
영업용,특수차,소형,2785,16%,5091,22%,3981,25%,2367,23%,1623,20%,1277,22%,913,23%,1251,22%
영업용,특수차,중형,5536,15%,7161,21%,4249,24%,1671,27%,597,32%,249,22%,104,19%,332,19%
영업용,특수차,대형,4238,17%,5371,19%,4298,18%,3041,17%,2524,17%,2497,16%,2464,18%,40181,20%
